1000 1000
3828 810 46
2328 7954 50
32 2661 67
4252 1868 97
1340 7959 95
1711 6060 7
3475 2924 51
8259 8344 73
3294 8021 64
453 414 16
7671 617 52
9292 2205 21
890 6997 71
4946 2618 72
3784 2006 24
4361 4695 87
9773 4445 4
5238 316 76
5916 8229 33
2321 5365 44
4036 9874 97
8506 8676 32
1484 9977 64
4681 9320 70
8154 5415 58
1592 9453 83
1554 410 35
1100 965 52
224 5615 86
5169 6745 74
6985 228 20
6710 3459 7
1407 9212 23
3801 5860 17
263 6911 77
7137 773 59
9255 9297 44
5060 8313 92
6017 7239 52
4908 1614 98
5744 2732 54
6986 6671 10
5487 6108 67
4951 5716 59
4413 1512 51
7314 316 6
5221 3206 4
2451 1071 39
5518 5972 62
9353 7721 52
4867 6501 70
4075 4869 48
7105 5342 28
6056 2801 71
5305 9383 24
4135 5975 79
9203 6815 83
5274 2302 15
8996 2514 66
48 9360 28
8588 2789 96
5068 1229 42
7025 4365 11
7662 998 45
3446 2970 76
3385 3307 6
5732 4853 21
1144 9744 87
4918 3674 81
1622 1595 6
1492 4681 39
8837 4241 42
6513 3083 7
8145 8977 92
9013 7701 18
5725 314 81
5222 8617 28
8695 5869 39
8119 5257 94
4200 5799 75
8808 3381 19
7432 7189 88
728 7101 88
3594 898 17
4168 964 68
5626 8131 88
7694 6352 90
8785 4865 12
3775 3826 69
1217 768 15
4776 7086 24
3910 9759 63
6812 9087 37
8593 7943 43
735 4986 49
4507 4997 75
9329 3001 15
1100 803 98
4082 2384 97
8335 1981 13
1963 3391 58
4403 5857 44
3682 3823 61
4295 1488 68
9955 6981 41
8493 8196 80
3742 96 48
6391 6465 65
7991 3774 36
3895 3343 70
1449 2915 67
8544 3147 15
6023 55 93
3819 5165 35
2641 2910 84
1244 6346 5
4580 3768 16
7559 6660 2
7949 5609 29
4156 3206 52
7192 8421 24
4650 3733 6
738 2024 57
8316 4225 84
2930 1812 36
9342 5894 37
4631 6278 95
4058 504 45
5959 7483 87
1310 1045 67
8334 5813 66
9821 189 93
1946 9678 53
2788 7198 60
8371 8347 66
7305 6430 35
5349 6642 33
8692 4424 92
2766 9518 12
4160 8364 97
3329 5262 54
8181 9299 67
2432 9415 60
1260 2469 89
1961 1629 84
6024 6233 84
6717 3915 88
6674 1156 1
6761 6288 46
5744 322 36
8551 3708 67
5764 599 75
2795 4426 18
918 8973 100
5942 330 70
4872 5693 90
4345 6886 21
4817 2724 95
2443 9533 48
1271 9615 86
2174 70 79
503 9601 65
5734 1371 13
8247 5019 66
5051 5265 12
9031 6689 28
3867 3915 84
2430 1234 73
6481 2012 85
225 1055 19
3610 7797 72
6664 5810 36
1571 2921 17
2237 6714 41
8866 5794 35
4372 6997 84
7920 8491 29
2646 1699 54
731 9988 76
1222 1646 43
7732 2135 44
330 9294 11
2663 4820 80
2575 2139 29
3806 2081 93
7641 6166 58
3563 9079 20
1141 7912 70
182 7480 12
8950 6546 35
3824 2150 34
177 9144 79
3934 7300 84
8778 1296 35
9421 3622 36
806 5719 78
8442 4933 82
6428 4354 36
3491 2815 92
6262 7446 16
7764 2519 62
8546 3146 61
1259 3737 14
2618 1260 21
7506 709 46
9633 2347 20
6840 813 86
1525 1201 81
9442 455 7
8298 1411 81
2275 3992 60
6552 537 99
8123 4136 4
1080 9745 87
6711 8344 24
7170 5897 23
2277 15 45
4098 9331 3
5135 3765 86
7939 6095 34
6240 6539 65
2591 260 99
2077 6423 57
3769 1207 45
1377 5858 55
4836 8866 9
3626 1008 30
8417 9130 83
9703 8133 80
8398 4487 65
6939 8158 47
1936 4015 94
4672 3784 52
2277 8993 99
1370 4585 69
2790 4093 74
312 3039 20
8132 2748 72
4086 7851 73
5771 6330 80
2 6278 35
4719 4922 53
3185 8580 14
3991 3869 85
561 4569 77
2925 9620 100
9991 7416 35
7966 1990 61
5428 2517 21
5756 5138 75
6080 9897 80
5548 1466 11
5238 2463 58
3344 6787 7
8447 8763 34
1454 7441 67
4028 5850 56
4941 6145 93
6139 2564 4
6207 3435 3
1714 6107 43
5684 7304 38
3656 3763 9
5831 4182 12
3252 6852 57
8719 5319 98
602 4753 12
9922 5495 70
1272 4750 6
4451 9180 44
8586 9972 55
1242 8464 20
6644 6563 98
4576 1593 14
2833 9730 60
8522 628 93
9494 4667 29
4602 4308 87
1986 3848 76
8143 6728 73
6834 3140 17
6881 9210 17
38 1763 18
1980 6683 68
5175 3234 47
3208 936 88
4451 1477 66
9420 8824 67
2039 1703 2
1654 1090 37
5611 9639 25
238 300 89
8864 9133 55
1725 4870 82
9367 5831 55
4718 7534 34
1724 5130 39
8282 9671 1
3014 4546 90
8436 2503 74
8396 4230 71
4059 5263 53
915 4037 79
2648 3078 19
7567 6207 65
3273 1542 19
4552 5332 17
9258 4091 4
1673 5651 99
1402 3336 31
3543 1628 33
3796 6414 61
376 3351 8
5440 4911 29
2527 4393 66
3256 16 98
1008 3184 96
3493 1654 99
1164 418 97
7853 2204 11
2545 4375 25
2826 5492 89
8517 6705 56
7579 9020 86
7597 2339 100
2613 3750 30
7455 9919 77
4286 6417 47
1024 1818 87
5034 9310 90
2911 6292 98
5441 8307 6
1896 9753 77
8699 323 52
3754 9697 20
2285 5970 90
5495 847 78
7711 7084 6
8836 716 100
2699 4998 69
7485 9447 69
9118 1712 82
2828 4819 92
7032 3993 17
9025 2100 55
3728 2631 81
2358 6589 34
5221 4529 61
6671 217 82
3773 5418 97
7463 7933 76
4532 4067 25
7023 2138 67
4070 2764 35
3014 6884 96
7782 9023 3
9743 537 41
1635 7961 2
6020 9215 11
5450 730 56
3834 4814 40
4087 5591 95
6991 5896 2
2827 3874 75
5657 5543 27
1171 1616 36
8083 2657 20
4144 6482 53
728 4699 38
988 4933 14
2162 4383 36
9939 8922 35
4391 8017 99
3012 5766 56
1432 5065 50
7297 826 22
1729 3852 38
2643 1647 86
2454 8934 80
9642 2507 29
5498 7189 52
4865 3519 86
4122 204 92
9596 5686 100
4005 5877 81
4082 434 55
1301 5747 97
6814 2072 57
8307 2929 31
9780 9850 59
3329 5216 9
8078 6817 60
2041 2004 17
2808 1974 80
8719 7892 10
1600 2470 77
5171 3918 87
3327 5967 79
9868 9544 83
7771 6865 85
6280 7684 40
5853 4200 81
4778 6908 82
5509 2948 59
4743 8987 43
2599 4640 1
6581 918 57
6791 6676 75
6525 9820 28
7828 51 9
592 9268 22
7814 2536 29
7382 2958 48
9100 9231 90
2506 7524 69
4681 4739 21
5064 8978 84
9588 9732 92
1487 2629 40
7715 7706 78
4545 4187 64
6471 7420 83
2721 7803 19
1200 7877 100
772 4249 85
6336 9449 44
9460 7986 38
2468 8287 5
2286 940 87
434 9547 83
8691 5120 76
9984 4175 22
4037 1089 37
968 2039 39
8236 8993 97
8171 4168 82
7250 4585 42
5927 6034 67
9875 7391 1
6255 1301 90
6779 3283 24
4515 6808 26
1460 7039 60
6910 737 88
2029 2167 74
7857 9583 72
7405 1952 22
204 8392 77
2186 4202 28
6769 8359 6
6228 6337 46
1095 7253 2
4128 5382 11
6404 4358 3
2425 3299 64
3758 5446 77
789 7628 5
1846 4703 84
3384 3683 86
7867 2785 82
7034 8979 88
4128 1819 56
5309 3510 73
9720 2353 15
2377 8016 83
4010 8679 61
386 7552 49
9787 3552 73
1650 8789 32
6776 1503 29
9068 221 60
9446 8294 57
2113 303 59
6417 1550 7
3075 5743 37
2100 349 76
652 2753 78
3742 3029 36
9673 6223 70
3466 1544 52
5655 6964 69
8077 4588 74
1618 3278 2
4406 8055 94
5635 5671 58
9878 7285 12
5108 4445 48
5450 5852 15
7256 5255 35
5878 329 91
7576 5080 41
4632 1625 70
346 6928 18
2507 9471 75
8201 2887 34
6556 8351 43
4414 4314 6
3831 6443 52
2089 7379 69
5133 3670 51
1237 4156 82
291 5406 12
7329 6320 55
5108 7068 52
7210 9757 71
9465 3822 64
1843 4887 31
6869 7003 85
4903 8005 18
4498 2340 3
5277 8718 34
4587 6746 19
5967 3571 83
4231 518 85
1387 9241 86
8202 222 98
2756 7360 10
8291 7822 2
7974 6054 2
5472 6268 3
3120 5771 33
6516 8143 74
7371 6866 13
7543 3162 1
1041 5694 89
2118 6161 25
8783 886 38
5937 8038 39
6479 7979 7
9810 5919 97
3313 8638 26
4727 1588 88
7148 397 8
7902 1858 5
2378 6827 20
6514 3444 28
3170 227 99
2283 6622 23
9289 617 79
2885 6513 39
1811 7407 26
5335 242 29
4837 9349 97
5871 8855 35
8693 65 20
3119 2257 52
8180 2204 55
1919 1830 65
8937 4949 28
1390 3518 19
6933 823 5
3605 2440 30
5707 3841 36
8667 2893 92
3207 7471 67
7939 9340 52
7950 8091 31
5780 3229 11
591 6903 20
4334 5159 33
5432 9840 62
69 9813 53
6432 6274 20
2852 1716 45
9288 1441 40
8725 1959 76
8014 8688 83
3282 5709 61
842 8058 11
4172 7441 33
6597 5038 51
8985 1758 46
2680 4089 46
9544 9590 49
1742 6851 52
9066 5966 41
7432 9805 35
3803 9630 83
995 1327 11
7855 7943 79
3801 3510 14
2433 968 3
1210 7039 72
888 5796 94
5877 5896 100
5764 646 28
3759 2567 24
8105 9829 28
1341 446 65
5788 6557 54
3511 9197 88
775 1716 86
4834 9566 10
5977 1230 44
1204 3966 14
6612 4216 68
2578 4734 57
7805 1870 24
1543 6337 61
4856 971 4
3433 7850 92
4132 9313 27
2454 4071 81
1419 5868 60
8119 6805 52
8233 6589 56
3834 7548 20
1277 5596 58
7018 6076 27
7701 1174 39
511 1232 5
1648 7940 35
2801 8419 23
1300 5081 27
2992 2845 12
5107 1466 99
8224 9065 69
3085 2261 67
1630 1987 70
1107 823 4
1271 1857 24
8472 8577 30
3686 4787 21
6653 6897 5
7637 2277 2
8829 2356 72
1842 630 88
6401 543 58
9370 9333 89
3597 3219 55
1755 9654 17
7200 9858 17
6440 6606 94
726 7778 20
4428 4965 14
4978 3408 39
3663 6287 73
9356 7732 1
8661 5055 43
3930 6553 54
6239 3804 48
9392 7698 77
2637 7776 9
6623 5661 91
3027 595 15
4737 7197 1
7523 6232 7
6113 6911 50
9961 7677 59
7726 247 31
4663 9619 42
1547 2132 37
8351 5939 19
5796 8175 6
4672 7714 40
4341 3258 30
9109 3017 52
6154 1507 26
9422 9840 51
9011 4903 1
2757 9999 91
249 471 6
9023 1544 54
9393 3061 30
3665 917 97
4453 6595 45
5837 9485 52
5046 3719 69
5385 4196 5
8038 1004 96
5803 6850 65
1087 8162 7
6342 5237 17
3744 7439 66
6700 1152 74
5993 9316 22
611 5791 37
9681 1758 82
2646 9040 57
482 4808 100
6995 1181 82
4884 20 20
705 4172 1
1053 9725 43
5962 9160 32
323 8037 62
2276 4039 27
4697 2023 38
6458 9862 59
2410 4291 70
2136 2697 96
216 3536 48
1335 6874 23
2771 1368 57
6825 7179 72
7846 2595 40
9972 1552 20
1183 1561 84
612 2767 62
5853 3519 96
3586 4928 15
2695 5209 58
8630 3042 96
120 8601 23
9073 2562 96
2405 9019 12
3675 5147 2
4127 3275 29
5830 8263 94
9360 8724 11
9165 5158 86
1334 1362 64
1438 7052 63
8703 8666 27
6110 243 53
9589 3672 94
5500 9623 30
7297 5776 46
1871 1714 78
5571 5485 34
259 4803 77
9721 4850 84
7844 1373 3
3660 8582 37
7302 6474 34
3460 2398 14
8120 3463 11
9086 1946 53
2321 5153 21
1832 660 51
9812 5024 53
3534 3646 33
2766 6129 46
9948 4962 88
9329 8236 45
388 2703 71
1502 9587 87
6115 9366 82
9186 9492 4
3821 1722 28
2845 2883 55
2313 19 14
316 1090 62
1969 1510 16
6107 5493 39
5949 4529 69
7300 3059 15
8982 1073 64
9685 6004 14
6288 1280 93
8927 298 61
6847 388 61
2328 8070 17
2991 683 17
4848 8129 69
4927 1413 53
9074 4347 24
4707 2487 82
2191 2895 66
2086 2257 32
913 3684 1
8751 8618 20
6913 4953 26
5194 9472 11
2813 5669 20
1137 9019 86
6105 68 83
2247 196 86
8904 6424 65
38 8659 24
942 2487 87
4493 5186 60
4857 7541 1
2605 1663 87
5536 8258 98
5065 6902 62
6896 263 28
1815 4209 100
2343 1376 43
1920 1022 35
4307 6803 47
3107 6326 39
7579 4743 43
6433 5662 7
4328 4656 61
6159 4752 98
2314 1516 52
4311 9789 100
4255 8171 67
5356 1969 31
7823 9384 20
302 1455 31
7309 3327 49
9882 7648 45
281 6596 66
1672 1097 25
7783 5275 45
5278 1541 66
5940 1433 84
9126 6022 71
1995 635 49
3799 7002 85
4091 2520 91
2360 1748 77
9239 8141 56
5489 4863 5
5326 7825 60
9156 1582 4
7186 5107 41
585 110 7
586 1100 98
3837 2408 2
3616 4187 83
9405 3146 55
3338 8966 65
5305 3696 23
1532 9135 5
2216 6079 23
5678 1832 42
1836 6333 79
6963 386 25
5394 8314 47
6459 9648 73
9086 3349 58
9651 9638 60
6408 268 50
5538 7491 30
3872 4975 45
3022 9279 1
3182 7533 99
4286 940 1
8682 4528 48
4391 3450 68
199 5520 32
4074 7825 50
5394 2950 56
8636 3740 34
1522 8663 99
1101 2740 2
5800 8704 62
934 8040 91
9789 7579 21
8494 1722 100
6645 3465 78
2310 5557 55
3140 893 56
1987 3989 93
1331 4947 10
3627 5753 76
3731 6806 11
4431 9249 56
9241 7210 67
6996 250 79
2587 8586 14
7901 1202 47
7504 5047 1
5117 6083 2
2805 4339 19
9369 9278 78
4323 4943 8
803 6260 95
384 7078 44
5091 4020 8
2683 3672 25
3721 8703 18
4823 959 8
9551 2604 39
1944 6110 99
1972 5749 46
1699 3670 1
7624 3446 10
4648 6921 97
2204 6467 18
9043 8112 85
2461 102 57
4581 2647 52
4465 8994 6
3714 9138 53
6307 337 98
648 3534 55
8479 4494 97
4562 8583 2
8678 8471 1
1046 3534 1
6269 6575 75
6396 2570 60
4853 419 15
7536 4918 91
2955 8728 97
1110 5717 14
7189 4504 78
8726 7316 71
4108 8218 82
8429 5244 41
5871 4417 74
7396 2714 96
7414 6867 43
4135 8446 4
1134 8902 69
4120 2876 87
2491 7021 67
4214 190 62
4822 3249 13
5155 4048 43
4822 7907 34
8550 501 1
4003 5570 61
8220 4284 37
4268 7976 10
4843 4760 48
5690 132 9
3271 3804 25
6361 9434 20
4336 596 62
5920 8670 89
7987 8153 6
7955 860 15
4066 2155 8
3106 7745 61
2315 9706 56
8860 5627 77
6352 2210 23
4168 4994 11
7443 4396 93
7816 1189 78
8279 470 96
8161 1770 57
1216 757 54
2677 1461 58
9784 6402 8
9159 1444 77
8694 5098 42
9562 1360 78
7989 9541 16
5543 2628 92
7693 4119 10
4549 4257 74
6481 7916 67
6213 2955 56
9852 6844 24
7494 89 60
3700 8249 19
2090 6649 91
6146 3058 72
3267 7728 47
1298 1408 21
8202 8548 28
7881 8713 69
7887 7451 24
7786 5692 78
9204 9827 98
9123 8147 70
8643 4189 92
322 6299 50
8307 2677 57
5036 7801 1
5259 2884 63
8095 633 81
4118 5426 67
5016 3582 95
5095 3233 63
9247 9498 48
4319 5293 5
1275 7136 28
1343 7598 79
8468 4522 69
2114 3403 46
5712 8036 92
1634 5729 100
873 3890 66
3417 4382 21
4084 8134 65
4358 500 29
2266 3636 31
5129 1874 34
2473 8374 80
5352 4562 39
9856 835 17
1106 1821 27
8882 5578 76
8999 2837 91
1634 2394 75
8119 8108 84
1182 4317 93
7402 7654 22
3371 5882 59
8679 1948 69
5856 4475 100
1798 6933 57
8014 4390 28
4651 4436 43
7937 3353 16
9155 6645 14
7783 1460 33
9529 5428 39
1347 9230 38
7300 1584 56
9859 8662 97
1926 1704 87
3863 2252 81
9181 850 55
2605 2809 91
7963 2738 30
463 2198 39
9322 7723 4
2282 5339 34
5989 6828 47
4753 5582 22
7734 6087 45
9111 5671 27
2940 7659 6
7935 5350 17
8388 7921 56
7956 2683 88
8834 3010 83
4522 6012 89
8828 8683 51
9084 2779 78
7706 7636 18
9637 3527 26
6984 7692 100
8329 6024 55
1340 5027 39
3990 2167 34
9896 9859 14
4428 8192 57
8609 9445 91
2725 3253 100
56 959 18
9225 377 87
6697 7239 70
278 9912 45
3033 954 87
908 846 89
4667 2988 98
921 4977 33
6731 7290 41
1776 9440 63
737 9699 16
5269 7787 20
5350 9365 24
8260 664 10
5010 5716 5
5190 4482 45
1778 838 62
5950 5230 38
6681 3730 54
635 7059 52
8832 8989 91
5070 3437 12
9159 560 55
2884 9945 21
7601 9870 30
6028 8520 24
2121 7683 94
874 9498 92
1550 4475 66
2494 4507 85
7251 5073 27
2395 4729 68
8322 10000 95
4196 5864 48
5882 6705 11
6313 6849 31
7492 7016 86
3164 7378 29
2759 6571 36
6328 226 13
4873 6485 33
2963 3688 15
5743 7842 82
6328 4097 75
2564 4634 66
5077 696 86
4763 3100 85
5396 3587 23
4085 9928 60
6242 8730 11
622 7050 15
4055 7987 81
1781 3292 61
8828 971 58
560 5216 90
7421 7092 52
852 8312 76
4571 9479 51
3788 1267 42
9033 4281 96
467 2680 46
1279 1110 50
7700 1746 79
8080 5212 25
6416 2032 58
3438 39 75
6128 5158 91
7157 8601 64
4745 1284 73
166 144 19
1008 5264 23
3387 859 94
516 4878 19
4837 3576 59
3417 4964 17
2928 9804 4
4694 8585 23
5350 3207 86
7618 3499 77
6881 5411 57
3915 3195 100
4292 2484 53
5682 7150 26
2770 6329 20
4778 9426 18
9078 8215 91
7051 6062 59
3011 1426 57
3992 2328 96
8607 3010 65
3493 7640 100
8115 6040 100
7839 1926 68
8437 7502 49
2467 7789 96
5975 1412 7
5151 5310 95
870 6110 94
444 2188 82
2203 7141 40
4853 9788 37
5074 2679 41
8570 1286 18
8304 7307 51
9900 8982 71
3302 9917 19
2710 8906 27
8961 8951 19
1037 1825 37
3989 8376 2
7309 5769 97
8930 7110 39
6068 2317 94
7583 2739 77
1032 3873 58
3635 2986 6
1262 100 42
3696 1540 12
4342 8038 29
6867 1685 88
5250 1972 11
3133 1945 19
470 4791 71
1312 1735 77
7736 4089 75
2061 3737 66
3582 2 11
2924 1103 53
3807 3761 22
9944 2896 43
2405 7370 52
114 702 61
5475 4585 94
3025 9052 44
8570 1844 30
8076 8235 21
6069 4203 38
721 2213 33
7487 3354 84
1844 7169 82
71 7030 9
9089 9006 60
6040 4392 2
7866 4610 30
4981 6399 94
5730 7909 51
697 3656 30
4421 8940 94
6749 240 35
0 5497 93
1654 7713 78
3274 3515 69
1606 4750 63
1552 2791 66
9919 4650 97
3255 5164 50
8153 5516 86
6608 3521 70
599 1476 45
4508 5380 60
5797 4958 32
9874 3955 60
3037 755 42
7648 7086 75
8445 6044 63
7433 5732 26
3975 1445 96
5784 4178 26
7936 8190 21
4031 2634 9
4880 317 100
8174 5400 12
7469 1281 52
3709 2443 91
8112 3822 39
1797 2005 98
9315 7234 98
7227 4828 53
5523 5552 66
726 1510 10
8803 8391 100
6547 5255 37
7824 7032 10
7861 2089 85
2464 9408 17
69 9475 55
9395 1761 71
8195 330 11
7269 1402 44
325 875 48
9540 6234 81
874 9822 98
3798 3212 91
7925 9955 5
5553 8818 23
1575 4104 29
9960 4571 6
6390 2256 31
8748 1526 81
2544 1490 41
4859 1228 95
2149 4013 41
3751 2870 40
7378 4881 81
5981 2712 18
7266 8048 50
7723 1196 40
974 3676 15
1416 1411 95
8507 6254 41
9267 7797 9
5478 7643 54
6190 7170 13
8288 5645 17
3336 5906 23
2227 2361 16
7996 6407 67
6493 7583 80
2084 7227 6
1940 2385 66
4950 679 79
543 4327 80
9067 5060 91
2811 9980 11
4671 1239 80
2282 350 60
2932 4888 75
1409 7462 66
7033 5447 50
2338 5121 50
4356 5568 32
802 877 38
6128 1522 83
516 2060 33
6734 8908 37
7590 1101 34
790 2903 71
9459 3650 15
835 6153 93
2781 880 35
2983 4803 8
617 9783 94
6910 9691 70
7374 2298 51
4255 7835 58
8304 6125 26
3459 5086 40
2227 2098 32
7213 349 11
1654 7355 49
4518 892 88
4744 259 53
9174 8050 40
1961 5395 28
5712 6364 54
9450 7234 16
5571 6101 46
9291 2673 38
7136 554 25
6022 7133 88
8088 3721 69
8475 958 98
9847 4049 66
3490 550 48
9569 4512 15
6396 4350 4
4615 6633 34
3234 3804 65
8544 6586 58
6782 3856 38
5434 8922 6
9447 3703 84
8769 4067 33
8296 518 82
526 8668 40
2160 7878 87
4473 1246 40
1162 3108 33
2857 4222 85
5707 305 69
846 7244 30
4309 9891 49
1064 9008 60
4468 8090 14
8606 2900 55
2089 6707 87
9122 40 83
8398 868 81
4814 9991 19
6450 8704 52
842 4402 85
3370 7378 24
8572 27 6
2841 7360 69
8099 1866 56
7080 1331 43
5842 9566 25
7192 7565 72
1240 6788 98
6083 7543 9
7857 1364 8
3437 6794 66
2311 1709 45
8961 7622 60
2146 5139 71
46 3493 65
329 343 79
8389 7362 60
2024 6303 53
969 5601 26
1138 7941 88
648 3079 50
2061 435 66
616 2785 33
8196 1886 77
5672 3941 32
6475 3039 11
4873 4795 48
8223 7817 97
9972 4672 56
577 8677 1
2123 5693 53
6987 801 12
3340 4334 26
3572 4300 94
7281 188 42
8380 9940 2
9669 1608 39
1449 4195 69
2270 7236 76
3139 3579 98
6558 648 97
6682 24 58
3360 2047 13
9669 5409 87
3394 4699 86
8852 2101 43
9475 449 84
5148 7421 79
7652 2438 59
1599 8687 99
857 2238 57
3356 3341 53
7002 5150 36
7627 2245 18
2321 6189 93
8192 1727 89
9354 7146 20
7277 6129 53
775 9606 71
783 3110 50
7491 8791 51
7083 5262 52
1033 3620 3
9392 6687 83
8654 8525 87
5854 9379 70
5104 5661 83
6918 9713 48
2417 155 50
1815 4946 16
7472 4113 36
2548 9333 50
6478 9446 37
5771 5094 82
9923 5422 96
1063 6577 26
2283 571 65
8147 4441 96
8970 4908 32
7382 8288 57
8956 6005 41
2043 2238 40
4172 8713 58
7762 5479 65
4752 5250 7
7364 7837 39
434 5487 83
8654 8710 59
3663 1661 82
6199 6537 73
4502 2004 10
7151 8205 78
5045 2636 65
3100 8712 61
9213 805 35
6766 3086 71
1681 8784 93
9786 2965 94
6139 855 50
457 2216 45
8251 9561 56
2830 9274 21
1421 2195 62
8899 7709 62
3277 4054 87
754 909 74
1446 5753 95
423 760 35
448 5435 62
9335 999 93
8030 9258 41
7154 605 7
4694 383 49
3677 9354 98
3196 6234 80
6367 5226 98
6574 2270 60
1914 8777 22
5033 1403 56
7747 4169 24
6302 2424 11
6288 4949 24
8698 4202 95
5207 670 67
5347 7977 30
8639 2450 59
2851 3906 13
3144 2163 50
8925 1585 16
9597 9371 49
7056 1251 96
7131 8734 31
5256 776 91
5415 2641 92
6045 2842 22
6339 7628 65
6084 4269 55
2215 907 89
9873 7725 56
3832 1284 22
4466 6902 14
7145 8610 73
2148 6417 77
6305 9779 34
1439 4470 65
3871 2674 41
3436 8661 65
9930 6252 88
3143 268 1
7700 322 33
8136 9235 2
4602 1794 96
8665 3320 55
3124 2703 84
9278 4353 40
3982 4973 47
4419 4982 17
8785 6737 24
9456 3765 42
1875 2899 23
8891 6933 85
7918 50 53
3766 2779 92
9845 3298 17
5031 7284 63
6308 1193 83
5491 7339 2
1866 1339 23
7589 4947 57
5397 6474 96
8285 5094 26
780 1771 20
3895 8833 4
8546 8258 76
174 864 50
710 7193 32
8971 1526 92
2166 1391 83
4702 72 87
3238 9787 85
7703 2219 58
7663 5572 83
1004 6208 28
2907 4146 10
9984 7801 36
5983 3695 47
4760 7810 19
6261 2210 62
3776 413 55
6025 4685 77
2496 2504 47
1126 9189 30
7483 422 51
4112 3938 49
6117 8449 90
5932 7348 28
7827 2185 38
9651 3573 5
3404 8146 70
5961 7322 86
5017 4919 71
9217 7329 37
1107 5823 33
9732 494 7
548 3030 57
2195 3343 24
5802 9108 69
1601 1245 40
6815 7445 94
2757 5378 65
5756 4261 42
1139 5462 1
9209 1681 57
9851 2358 76
9635 1007 45
673 3216 2
2977 9375 33
7070 341 12
126 4171 53
8852 5225 95
3590 4164 32
290 2774 19
5451 4180 99
9361 7999 11
6397 4116 24
1828 2372 77
5834 9370 14
2150 1810 65
889 582 53
8605 5902 78
5783 6591 88
6992 7132 95
2084 6796 68
754 4523 71
6868 9933 28
1690 788 85
4807 3798 52
8679 9390 9
732 6540 70
1329 9777 10
3794 6477 96
6903 6145 75
2467 4079 7
9053 1250 90
8497 6162 77
4374 1677 94
7084 4614 10
1388 9250 92
5913 769 5
6723 2413 92
1671 8181 75
6946 9719 14
5558 6908 53
583 1736 91
9688 8225 41
7240 8421 54
2201 795 31
4185 5267 53
6130 1244 7
404 2253 88
225 716 50
8344 3659 31
3541 8308 19
1244 1371 23
6314 7605 68
3442 4478 60
964 1264 35
6602 4364 43
5442 4212 41
7733 8758 6
2657 5651 35
892 6448 47
4506 9717 10
833 2002 87
8323 3717 50
6537 4056 32
974 5097 48
6675 8516 40
4926 8145 56
9115 9986 34
5909 6021 26
3219 4834 19
